,title,description,topic,,
28,Người dân Nghệ An thiệt hại vì mưa lũ,"Mưa lũ từ ngày 28/9 đến nay khiến hơn 17.400 ngôi nhà ở Nghệ An ngập sâu 0,3-2 m, nhiều công trình hư hỏng, gia súc, gia cầm chết trôi.",thoi-su,,
29,"Nghiên cứu cơ chế phân cấp, phân quyền cho TP Thủ Đức ","Chính phủ nghiên cứu, đề xuất cơ chế, chính sách đặc thù, phân cấp, phân quyền cho TP Thủ Đức để tiếp tục phát triển nhanh, bền vững, Ủy ban Thường vụ Quốc hội yêu cầu.",thoi-su,,
30,Việt Nam đã tiêm được 260 triệu liều vaccine Covid-19 ,"Trong chiến dịch tiêm chủng lớn nhất từ tháng 7/2021 đến nay, Việt Nam đã tiêm được 260 triệu liều, là quốc gia có tỷ lệ bao phủ cao trên thế giới.",thoi-su,,
31,"Sập sàn công trình cầu Mỹ Thuận 2, một công nhân mất tích ","Khi thi công trụ tháp chính cầu Mỹ Thuận 2 nối Tiền Giang và Vĩnh Long, sàn đi lại trên bệ trụ bị sập, ba công nhân rơi xuống sông Tiền, một người mất tích.",thoi-su,,
32,Trồng sâm Báo tiến vua ,"Thanh HóaSâm Báo từng được mệnh danh là ""Đại Việt đệ nhất danh sâm"" nhưng bị mai một, người dân xã Vĩnh Hùng mới khôi phục, biến thành đặc sản Tây Đô.",thoi-su,,
33,Thu hồi trên 1.300 ha đất làm vành đai 4 vùng Thủ đô ,"Hà Nội, Bắc Ninh và Hưng Yên cam kết bàn giao 70% diện tích mặt bằng cần thu hồi trước 30/6/2023 để khởi công dự án vành đai 4 vùng Thủ đô.",thoi-su,,
34,Thị trường lao động 'dễ tổn thương' ,"Nhân công giá rẻ là lợi thế cạnh tranh của Việt Nam nhiều năm qua nhưng người lao động dễ mất việc, lưới an sinh chưa đủ sức chống đỡ nếu thị trường gặp sự cố.",thoi-su,,
35,Giám đốc Trung tâm phát triển quỹ đất Khánh Hòa bị cách chức ,Ông Nguyễn Tiến Lưu bị cách chức Giám đốc Trung tâm phát triển quỹ đất Khánh Hòa do vi phạm quản lý tài chính và tài sản công.,thoi-su,,
36,Đổ xô ra biển nhặt sò lông,"Hà TĩnhHàng trăm người ra bờ biển xã Thịnh Lộc, huyện Lộc Hà, bắt được cả tấn sò lông dạt bờ, đem về chế biến món ăn hoặc bán cho thương lái.",thoi-su,,
37,Bí thư Bảo Lộc bị kỷ luật do con trai vi phạm pháp luật ,"Lâm ĐồngDo thiếu trách nhiệm trong quản lý khiến con trai vi phạm pháp luật, ông Nguyễn Văn Triệu, Bí thư Thành uỷ Bảo Lộc bị kỷ luật khiển trách.",thoi-su,,
38,"7 người chết, hàng chục nghìn nhà ngập do mưa lũ ","Nghệ An7 người ở Nghệ An bị nước cuốn trôi, hơn 17.400 nhà bị ngập lụt tại 13/21 huyện, thị, chỉ sau ba ngày mưa lũ.",thoi-su,,
39,16.000 giáo viên bỏ việc trong năm 2022 ,"Theo Bộ trưởng Giáo dục và Đào tạo Nguyễn Kim Sơn, năm 2022, cả nước có 16.000 giáo viên bỏ việc, bình quân cứ 100 nhà giáo thì một người ra khỏi ngành.",thoi-su,,
40,"Gần 1,8 triệu hộ dân có điện trở lại sau bão Noru ","Sau ba ngày mất điện do bão Noru, gần 1,8 triệu hộ dân ở miền Trung, Tây Nguyên đã thoát cảnh thắp đèn dầu, đèn pin khi mạng lưới được khắc phục, chiều 30/9.",thoi-su,,
41,Cục Đường sắt Việt Nam bảo lưu xóa cà phê đường tàu ,"Cục Đường sắt Việt Nam đề nghị UBND TP Hà Nội tiếp tục ngăn chặn người dân, du khách quay phim, chụp ảnh, ngồi uống cà phê trong hành lang đường sắt.",thoi-su,,
42,12 người tử vong trên tàu ở biển Côn Đảo ,"Bà Rịa - Vũng TàuTàu quốc tịch Trung Quốc có 21 thuyền viên nghi bị ngộ độc, 12 người tử vong, 9 nạn nhân được cấp cứu ở bệnh viện huyện Côn Đảo, chiều 30/9.",thoi-su,,
43,Đình chỉ công tác cán bộ bị tố cáo hiếp dâm ,"Quảng NinhPhó giám đốc Trung tâm Hành chính công huyện Đầm Hà bị đình chỉ công tác, sinh hoạt đảng sau khi cô gái 19 tuổi tố cáo ông có hành vi hiếp dâm.",thoi-su,,
44,'Cán bộ thấy rối rắm khi thực hiện chính quyền đô thị' ,"Quyền không nhiều hơn, lại rối rắm khi triển khai, phối hợp khiến một số cán bộ thành phố thấy hiệu quả mô hình chính quyền đô thị chưa cao, theo lãnh đạo TP HCM.",thoi-su,,
45,Ông Lê Kim Thành là Cục trưởng Đường cao tốc Việt Nam ,"Sáng 30/9, Bộ trưởng Giao thông Vận tải Nguyễn Văn Thể trao quyết định bổ nhiệm ông Lê Kim Thành giữ chức Cục trưởng Đường cao tốc Việt Nam từ 1/10.",thoi-su,,
46,Ôtô khách bị ném đá ,"Kon TumÔtô đang chở hàng chục khách chạy trên quốc lộ 14, đoạn qua huyện Đăk Glei, bị hai người dùng đá ném vỡ kính.",thoi-su,,
47,Chủ tịch Viện Hàn lâm Khoa học Xã hội Việt Nam bị cảnh cáo ,"Bộ Chính trị quyết định cảnh cáo ông Bùi Nhật Quang, Ủy viên Trung ương Đảng, Bí thư Đảng ủy, Chủ tịch Viện Hàn lâm Khoa học Xã hội Việt Nam.",thoi-su,,
48,Chủ tịch TP Hà Nội: 'Cứ làm trong sáng thì không vấn đề gì' ,"Trước băn khoăn của cán bộ ngành y tế về cơ chế tự chủ, ông Trần Sỹ Thanh cho rằng khó vẫn phải làm và ""cứ làm trong sáng thì không vấn đề gì"".",thoi-su,,
49,Hầm chui Nguyễn Văn Linh - Nguyễn Hữu Thọ bị dừng thi công ,"TP HCMCông trình hầm chui Nguyễn Văn Linh - Nguyễn Hữu Thọ, quận 7, tổng vốn 830 tỷ đồng bị đình chỉ vì đơn vị thi công gây hư hỏng mặt đường nhưng chậm khắc phục.",thoi-su,,
50,"Triều cường cao bất thường, TP Cần Thơ ngập sâu ","Nước sông Hậu tại Cần Thơ bất ngờ dâng cao 2 m (mức báo động 3), gây ngập nhiều khu vực ở quận Ninh Kiều, Bình Thuỷ, Ô Môn, Cái Răng, sáng 30/9.",thoi-su,,
51,Quốc lộ 1 ngập hơn nửa mét ,"Hà TĩnhQuốc lộ 1 qua huyện Nghi Xuân ngập sâu hơn nửa mét, nhà chức trách phải cấm đường, phương tiện vòng qua tuyến tránh, sáng 30/9.",thoi-su,,
52,Hàng chục tấn ngao chết dạt vào bờ biển ,"Nam ĐịnhBa ngày nay, hàng chục tấn ngao giấy chết trôi dạt vào ven biển xã Giao Hải, huyện Giao Thủy, chưa rõ nguyên nhân.",thoi-su,,
53,Cửa ngõ Sài Gòn ùn tắc ngày đầu cấm cầu Nguyễn Hữu Cảnh,"Giao thông ùn ứ khi cầu vượt Nguyễn Hữu Cảnh, quận Bình Thạnh cấm xe để đảm bảo an toàn sau sự cố đứt cáp ngầm, sáng 30/9.",thoi-su,,
54,Cứu đê vỡ trong đêm ,"Nghệ AnKhoảng 300 công an, bộ đội cấp tập cứu đê sông Lam Trà, bảo vệ hơn 6.000 người dân của huyện Hưng Nguyên, đêm 29/9.",thoi-su,,
55,Hai người bị điện giật chết khi đẩy xe tang ,Thanh HóaAnh Nguyễn Trọng Xoăn và Cao Văn Vũ khi đẩy xe tang chuẩn bị chở thi thể người thân ra nghĩa trang vô tình vướng phải dây điện khiến cả hai mất mạng.,thoi-su,,
56,Nghiên cứu đưa dịch vụ công trực tuyến về chung cư ,"Những khu chung cư đông người, điều kiện hạ tầng tốt nên thí điểm đặt máy tính để người dân sử dụng dịch vụ công trực tuyến, Phó thủ tướng Vũ Đức Đam chỉ đạo.",thoi-su,,
57,Đội mưa bắt cá khi đập tràn,"Hà TĩnhNgười dân xã Thuần Thiện, huyện Can Lộc dùng vợt và lưới đứng tập trung tại cửa đập Cu Lây bắt cá khi nước dâng vượt tràn.",thoi-su,,
58,Lúng túng xử lý hơn 3.200 tỷ đồng 'nợ xấu' BHXH ,Hơn 3.200 tỷ đồng nợ bảo hiểm xã hội (BHXH) kéo dài nhiều năm ảnh hưởng hơn 206.000 lao động nhưng cơ quan quản lý kêu “khó thu hồi”.,thoi-su,,
59,"TP HCM thi tuyển lãnh đạo, quản lý thay vì đề bạt ","Thành phố sẽ thi tuyển lãnh đạo, quản lý từ năm nay thay vì đề bạt, bổ nhiệm nhằm ""tạo sự cạnh tranh, tăng nhân sự trẻ, chọn người tài đức vào bộ máy quản lý"".",thoi-su,,
60,Hơn 7.300 nhà ngập sau mưa lớn,"Nghệ AnMưa lớn liên tục nhiều giờ đã làm hơn 7.300 nhà dân ở huyện Quỳnh Lưu, Thanh Chương, Yên Thành... ngập nước.",thoi-su,,
61,TP HCM cần hơn 500 tỷ đồng số hóa hồ sơ nhà đất ,"Sở Tài nguyên và Môi trường thành phố đề xuất được cấp 519 tỷ đồng lập dự án quản lý hồ sơ giấy nhà đất từ trước 1975 đến nay ""nếu trải ra dài 40.000 m"".",thoi-su,,
62,Cấm xe qua cầu vượt Nguyễn Hữu Cảnh ,"TP HCMToàn bộ xe bị cấm qua cầu vượt Nguyễn Hữu Cảnh, quận Bình Thạnh để đảm bảo an toàn sau sự cố đứt cáp ngầm.",thoi-su,,
63,Hai người chết trong mưa lũ ở Nghệ An ,"Năm người ở huyện Thanh Chương và Nghi Lộc bị lũ cuốn sau bão Noru, hiện hai thi thể đã tìm thấy.",thoi-su,,
64,"TP HCM hết vaccine Covid, phải xin Đồng Nai chi viện ",Dù tỷ lệ tiêm vaccine Covid-19 cho trẻ thấp nhất cả nước nhưng TP HCM không có vaccine để tiêm.,thoi-su,,
65,Cơ chế tự thỏa thuận chuyển nhượng đất xây nhà thương mại bị lo khó khả thi ,"Một số thành viên Ủy ban Kinh tế cho rằng tự thỏa thuận khi chuyển nhượng đất để xây nhà ở thương mại khó khả thi, vì không dễ để 100% người dân đồng thuận.",thoi-su,,
66,Đề xuất mở tuyến phà biển từ Cần Giờ đi Tiền Giang ,"TP HCMSở Giao thông Vận tải đề xuất mở tuyến phà biển từ huyện Cần Giờ đi Gò Công Đông, tỉnh Tiền Giang, cự ly 12 km, để tăng kết nối hai địa phương.",thoi-su,,
67,Đề xuất đóng cửa sân bay Điện Biên 6 tháng để thi công ,"Cục Hàng không Việt Nam đề xuất Bộ Giao thông Vận tải tạm thời đóng cửa sân bay Điện Biên từ 1/3/2023 đến 9/9/2023 để thi công đường băng, sân đỗ máy bay.",thoi-su,,
68,Xem xét điều chỉnh lương cơ sở tại kỳ họp Quốc hội cuối năm ,"Tại kỳ họp cuối năm, Quốc hội sẽ bàn về cải cách, điều chỉnh lương cơ sở, cùng Chính phủ nghiên cứu, báo cáo Trung ương để có quyết sách, theo ông Vương Đình Huệ.",thoi-su,,
69,Kiến nghị kéo dài chính sách đặc thù chống Covid-19 ,"Chính phủ đề xuất Quốc hội cho phép thực hiện chính sách đặc thù chống Covid-19 đến hết năm 2023, để duy trì thành quả chống dịch và phòng tình huống phức tạp.",thoi-su,,
70,Dầu vón cục tấn công biển Phú Quý ,"Bình ThuậnKhoảng một km bờ biển xã Ngũ Phụng, huyện đảo Phú Quý, bị dầu vón cục trôi dạt vào, bám dính, gây ô nhiễm nghiêm trọng.",thoi-su,,
71,"Người miền Trung sửa nhà, dọn bùn rác sau bão Noru","Người dân cùng công an, bộ đội Thừa Thiên Huế, Đà Nẵng và Quảng Nam lợp mái ngói, dọn dẹp bùn rác sau bão.",thoi-su,,
72,7 thi thể dạt vào bờ biển Phú Quốc ,"Kiên GiangTất cả thi thể đang phân huỷ, chưa rõ lai lịch, trôi dạt vào biển Phú Quốc, ngày 29/9.",thoi-su,,
73,Phương án khắc phục sự cố ở cầu vượt Nguyễn Hữu Cảnh ,"TP HCMCáp dự ứng lực ngầm cầu vượt Nguyễn Hữu Cảnh, quận Bình Thạnh sẽ được nối lại và bao bọc an toàn, đồng thời sửa toàn diện các hư hỏng trên cầu.",thoi-su,,
74,Bỏ quy định Nhà nước thu hồi đất khi 80% người dân đồng ý ,Dự thảo Luật Đất đai (sửa đổi) vừa trình Ủy ban Kinh tế thẩm tra không còn quy định Nhà nước thu hồi đất khi 80% người có đất đồng ý.,thoi-su,,
75,Diện mạo ga trên cao Metro Số 1,"TP HCMGa trước Khu công nghệ cao (TP Thủ Đức) tuyến Metro Bến Thành - Suối Tiên gồm sảnh, khu bán vé, phòng chức năng, lối ra vào tàu... đạt 99% khối lượng.",thoi-su,,
76,Hai công nhân tử vong trong hầm lò ,"Quảng NinhHầm lò Công ty than Nam Mẫu xảy ra tai nạn khiến hai công nhân tử vong, một người bị thương, 4h sáng 29/9.",thoi-su,,
77,"Lở núi, hơn 8.000 m3 đất đá chắn ngang quốc lộ ","Hà TĩnhVạt núi bên quốc lộ 8A, đoạn qua xã Sơn Kim 1, huyện Hương Sơn, bị sạt lở, hơn 8.000 m3 đất đá tràn xuống đường khiến giao thông ngưng trệ, sáng 29/9.",thoi-su,,
78,Cục trưởng Quản lý thị trường Hà Nội bị khiển trách ,"Ông Chu Xuân Kiên, Bí thư Đảng ủy, Cục trưởng Quản lý thị trường Hà Nội, bị khiển trách sau khi một số cán bộ cấp dưới bị khởi tố, truy tố.",thoi-su,,
79,TP HCM muốn quản lý đoạn quốc lộ 1K đi qua địa bàn ,"Thành phố kiến nghị Bộ Giao thông Vận tải bàn giao quyền quản lý đoạn quốc lộ 1K dài hai km qua địa bàn để chủ động duy tu, sửa chữa và tổ chức giao thông.",thoi-su,,
80,"Hàng trăm người chạy lụt, cứu đập vỡ trong đêm ","Nghệ AnMưa to liên tục khiến nhiều tuyến đường bị chia cắt cục bộ, nước tràn vào hàng trăm nhà dân ở huyện Quỳnh Lưu, Thanh Chương, Yên Thành.",thoi-su,,
81,Cầu có trụ cao nhất Việt Nam trước ngày thông xe,"Lào CaiCầu Móng Sến có trụ cao nhất Việt Nam chuẩn bị thông xe vào cuối năm nay, sau gần hai năm xây dựng.",thoi-su,,
82,"Thanh tra việc cấp phép, quản lý giá thiết bị y tế ","Bộ Y tế quyết định thanh tra việc thực hiện pháp luật về cấp phép, quản lý giá, chất lượng trang thiết bị y tế trong 45 ngày, từ 27/9.",thoi-su,,
83,57 người bị thương do bão Noru ,"Bão Noru đã làm 57 người bị thương, chủ yếu ở tâm bão Quảng Nam; hơn 3.000 nhà bị hư hỏng, tốc mái, theo Ban Chỉ đạo quốc gia về phòng chống thiên tai.",thoi-su,,
84,Thanh tra quận lo không bảo vệ được người tố cáo ,"TP HCMLuật không quy định nên cơ quan thanh tra quận chưa thể áp dụng biện pháp bảo vệ cho người tố cáo, dẫn đến có trường hợp bị trù dập, xử lý.",thoi-su,,
85,Nhiều quận huyện TP HCM bị cắt nước cuối tuần ,Nước ở 8 quận huyện tại thành phố bị cắt hoặc yếu trong đêm 1/10 và sáng hôm sau do trạm bơm Hoà Phú cùng nhà máy nước Tân Hiệp bảo trì.,thoi-su,,
86,Khởi công xây đài không lưu sân bay Long Thành ,"Ngày 29/9, Đài kiểm soát không lưu sân bay Long Thành và các công trình quản lý bay sẽ được khởi công với tổng mức đầu tư gần 3.500 tỷ đồng.",thoi-su,,
87,Bộ trưởng Lê Minh Hoan: Phòng chống bão hiệu quả không phải do may mắn ,"Bộ trưởng Nông nghiệp và Phát triển nông thôn cho rằng phòng chống bão Noru hiệu quả, không thiệt hại về người nhờ sự chủ động từ trung ương đến địa phương.",thoi-su,,
88,Người Hội An chèo thuyền trên đường phố,"Quảng NamCác tuyến đường ven sông Hoài nước dâng sâu hơn một mét, người dân TP Hội An phải chèo thuyền đi lại sau bão Noru, ngày 28/9.",thoi-su,,
89,"Ông Tô Anh Dũng, Nguyễn Quang Linh bị buộc thôi việc ","Ông Tô Anh Dũng, Thứ trưởng Ngoại giao và Nguyễn Quang Linh, trợ lý Phó thủ tướng thường trực Phạm Bình Minh, bị buộc thôi việc.",thoi-su,,
90,Giám đốc CDC Hòa Bình bị cảnh cáo ,"Ông Kiều Đình Vì, Bí thư Đảng ủy, Giám đốc Trung tâm Kiểm soát bệnh tật (CDC) tỉnh Hòa Bình, bị cảnh cáo do vi phạm liên quan đến kit xét nghiệm Việt Á.",thoi-su,,
91,Ngư dân trục vớt tàu chìm sau bão Noru,"Bão Noru đổ bộ sáng 28/9 khiến nhiều tàu cá ở Quảng Nam, Quảng Ngãi bị chìm, hư hỏng, người dân phải hợp sức trục vớt.",thoi-su,,
92,"Quốc lộ 1, đường Hồ Chí Minh ngập sâu ","Nhiều điểm trên quốc lộ 1, đường Hồ Chí Minh qua miền Trung, Tây Nguyên sạt lở, ngập sâu gần một mét sau bão Noru, khiến giao thông chia cắt, sáng 28/9.",thoi-su,,
93,Xe thiết giáp đưa sản phụ chuyển dạ đến bệnh viện ,"Đà NẵngKhi tâm bão đang quét qua đất liền, xe thiết giáp của quân đội nhận lệnh vận chuyển một sản phụ chuyển dạ đến bệnh viện.",thoi-su,,
94,"Cây đổ, nhà tốc mái sau bão Noru","Nhà tốc mái, cây cối, tường rào bị gãy đổ, quăng quật tại Đà Nẵng, Quảng Nam, Quảng Ngãi sau bão Noru, sáng 28/9.",thoi-su,,
95,Đêm không ngủ của người miền Trung ,"Hàng triệu người miền Trung thấp thỏm không thể chợp mắt vì tiếng gió rít, vì nỗi sợ bão vào, lũ lên, nhà cửa, đồ đạc bị cuốn bay.",thoi-su,,
96,Đêm trắng ở nơi cách tâm bão gần 800 km,"Hà NộiĐêm 27/9, gần 20 cán bộ của Trung tâm Dự báo Khí tượng Thủy văn quốc gia làm việc liên tục để cập nhật các diễn biến mới nhất của bão Noru.",thoi-su,,
97,"Hàng nghìn nhà tốc mái, lưới điện tê liệt sau bão Noru","Hơn 2.600 nhà dân bị tốc mái, hàng loạt cây xanh gãy đổ, mạng lưới điện tê liệt khi bão Noru cấp 11-12 đổ bộ vào Đà Nẵng - Quảng Nam sớm nay.",thoi-su,,
98,Công viên trái cây lấn sông Tiền sẽ hoàn thành sau 3 năm ,"Tiền GiangDự án công viên trái cây lấn sông đã bơm cát lấp hơn 70% nền hạ, đang xây khu tái định cư cho 60 hộ dân bị ảnh hưởng, sẽ xong sau 3 năm.",thoi-su,,
99,Cưỡng chế hàng loạt ngư dân cố ở lại tàu ,"Xuống vận động thuyền viên lên bờ trú bão, Bí thư Thành ủy Đà Nẵng Nguyễn Văn Quảng bị chất vấn ngược ""tàu chìm ai chịu trách nhiệm"".",thoi-su,,
100,Ông Nguyễn Xuân Cường làm Cục trưởng Đường bộ Việt Nam ,"Ông Nguyễn Xuân Cường, Quyền Tổng cục trưởng Đường bộ, được Bộ Giao thông Vận tải chuyển đổi chức vụ sang Cục trưởng Đường bộ Việt Nam, từ ngày 1/10.",thoi-su,,
101,Giám đốc nhận lỗi khi ký thông báo sa thải công nhân gây phản cảm ,Giám đốc người Nhật viết thông báo sa thải công nhân kèm theo hình ảnh bạo lực đã viết thư xin lỗi và hứa không tái phạm.,thoi-su,,
102,Nhà dân đổ sập do bão Noru,"Gió bão khiến 300 nhà dân ở Quảng Trị tốc mái, 2 nhà đổ sập hoàn toàn, nhiều cây xanh gãy đổ, chiều 27/9.",thoi-su,,
103,Bão Noru 'gây gió kinh hoàng' ở Lý Sơn,"Khuya 27/9, bão Noru quét qua huyện đảo Lý Sơn, tỉnh Quảng Ngãi với gió mạnh cấp 11-12 khiến nhiều nhà tốc mái, cây xanh ngã đổ, ""không ai dám ra khỏi nhà"".",thoi-su,,
104,Trợ lý Phó thủ tướng thường trực bị khai trừ Đảng ,"Ông Nguyễn Quang Linh, Trợ lý Phó thủ tướng thường trực Phạm Bình Minh và Thứ trưởng Ngoại giao Tô Anh Dũng bị Ban Bí thư khai trừ Đảng.",thoi-su,,
105,Quân đội huy động xe thiết giáp sẵn sàng ứng phó bão Noru ,"Quân đội huy động hơn 2.900 phương tiện tham gia cứu nạn, cứu hộ trong và sau bão Noru, trong đó có xe thiết giáp, xe đặc chủng, tàu, xuồng...",thoi-su,,
106,"Tàu hàng va chạm tàu cá, hai thuyền viên tử vong ",Hải PhòngTàu hàng Thanh Bình 18 va chạm với tàu cá HP 90200 trên luồng Bạch Đằng khiến hai thuyền viên tử vong.,thoi-su,,
107,"Lấy phiếu tín nhiệm Chủ tịch nước, Thủ tướng, Chủ tịch Quốc hội vào tháng 10/2023 ","Quốc hội sẽ lấy phiếu tín nhiệm đối với người giữ chức vụ do Quốc hội bầu hoặc phê chuẩn vào kỳ họp thứ 6, khai mạc tháng 10/2023.",thoi-su,,
